@relation kddcup-buffer_overflow_vs_back
@attribute Atr-0 real [0.0, 58329.0]
@attribute Atr-1 {icmp, tcp, udp}
@attribute Atr-2 {auth, bgp, courier, csnet_ns, ctf, daytime, discard, domain, domain_u, echo, eco_i, ecr_i, efs, exec, finger, ftp, ftp_data, gopher, hostnames, http, http_443, imap4, IRC, iso_tsap, klogin, kshell, ldap, link, login, mtp, name, netbios_dgm, netbios_ns, netbios_ssn, netstat, nnsp, nntp, ntp_u, other, pm_dump, pop_2, pop_3, printer, private, red_i, remote_job, rje, shell, smtp, sql_net, ssh, sunrpc, supdup, systat, telnet, tftp_u, time, tim_i, urh_i, urp_i, uucp, uucp_path, vmnet, whois, X11, Z39_50}
@attribute Atr-3 {OTH, REJ, RSTO, RSTOS0, RSTR, S0, S1, S2, S3, SF, SH}
@attribute Atr-4 real [0.0, 6.9337564E8]
@attribute Atr-5 real [0.0, 5155468.0]
@attribute Atr-6 {0, 1}
@attribute Atr-7 {0, 1, 3}
@attribute Atr-8 {0, 1, 2, 3}
@attribute Atr-9 real [0.0, 30.0]
@attribute Atr-10 {0, 1, 2, 3, 4, 5}
@attribute Atr-11 {0, 1}
@attribute Atr-12 real [0.0, 884.0]
@attribute Atr-13 {0, 1}
@attribute Atr-14 {0, 1, 2}
@attribute Atr-15 real [0.0, 993.0]
@attribute Atr-16 real [0.0, 28.0]
@attribute Atr-17 {0, 1, 2}
@attribute Atr-18 {0, 1, 2, 3, 4, 6, 8}
@attribute Atr-19 {0}
@attribute Atr-20 {0}
@attribute Atr-21 {0, 1}
@attribute Atr-22 real [0.0, 511.0]
@attribute Atr-23 real [0.0, 511.0]
@attribute Atr-24 real [0.0, 1.0]
@attribute Atr-25 real [0.0, 1.0]
@attribute Atr-26 real [0.0, 1.0]
@attribute Atr-27 real [0.0, 1.0]
@attribute Atr-28 real [0.0, 1.0]
@attribute Atr-29 real [0.0, 1.0]
@attribute Atr-30 real [0.0, 1.0]
@attribute Atr-31 real [0.0, 255.0]
@attribute Atr-32 real [0.0, 255.0]
@attribute Atr-33 real [0.0, 1.0]
@attribute Atr-34 real [0.0, 1.0]
@attribute Atr-35 real [0.0, 1.0]
@attribute Atr-36 real [0.0, 1.0]
@attribute Atr-37 real [0.0, 1.0]
@attribute Atr-38 real [0.0, 1.0]
@attribute Atr-39 real [0.0, 1.0]
@attribute Atr-40 real [0.0, 1.0]
@attribute Class {positive, negative}
@inputs Atr-0, Atr-1, Atr-2, Atr-3, Atr-4, Atr-5, Atr-6, Atr-7, Atr-8, Atr-9, Atr-10, Atr-11, Atr-12, Atr-13, Atr-14, Atr-15, Atr-16, Atr-17, Atr-18, Atr-19, Atr-20, Atr-21, Atr-22, Atr-23, Atr-24, Atr-25, Atr-26, Atr-27, Atr-28, Atr-29, Atr-30, Atr-31, Atr-32, Atr-33, Atr-34, Atr-35, Atr-36, Atr-37, Atr-38, Atr-39, Atr-40
@outputs Class
@data
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 28.0, 28.0, 1.0, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 37.0, 37.0, 1.0, 0.0, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0, negative
0.0, tcp, http, RSTR, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.5, 0.5, 1.0, 0.0, 0.0, 48.0, 48.0, 1.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 53.0, 53.0, 1.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 66.0, 66.0, 1.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 75.0, 75.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 76.0, 76.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 79.0, 79.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 80.0, 80.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.5, 1.0, 0.0, 1.0, 83.0, 83.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 92.0, 92.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 93.0, 93.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 95.0, 95.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 97.0, 97.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.33, 1.0, 0.0, 0.67, 105.0, 105.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 126.0, 126.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 129.0, 129.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 130.0, 130.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 136.0, 136.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 143.0, 143.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 152.0, 152.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 154.0, 154.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 158.0, 158.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 177.0, 177.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 183.0, 183.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 185.0, 185.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.33, 1.0, 0.0, 0.67, 190.0, 190.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 191.0, 191.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 193.0, 193.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 194.0, 194.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 198.0, 198.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 201.0, 201.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 203.0, 203.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 205.0, 205.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 206.0, 206.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 208.0, 208.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, negative
0.0, tcp, http, RSTR, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 231.0, 231.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 239.0, 239.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 243.0, 243.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 244.0, 244.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 251.0, 251.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 253.0, 253.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.5, 1.0, 0.0, 0.75, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
1.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.33, 1.0, 0.0, 0.67, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.02, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03, 0.03, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03, 0.03, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03, 0.03, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03, 0.03, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03, 0.03, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 255.0, 255.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03, 0.03, negative
